accident_id,num_vehicles,num_casualties,accident_severity,accident_damages,police_department,police_attended,urban_vs_rural,road_type,road_conditions,weather_conditions,light_conditions,date,year,weekday,hour,longitude,latitude
2014131350146,2,1,Serious,8221.5,West Yorkshire,Yes,Urban,Roundabout,Wet,Fine,Daylight,05/03/2014,2014,3-Wednesday,6,-1.500976,53.676349
2015350154215,3+,3+,Fatal,122778,Cambridgeshire,Yes,Rural,Single carriageway,Dry,Fine,Daylight,07/10/2015,2015,3-Wednesday,15,0.1935,52.308449
201042I369611,3+,3+,Serious,19180,Essex,Yes,Rural,Single carriageway,Wet,Fine,Daylight,14/11/2010,2010,7-Sunday,12,0.127024,51.723685
2012440373255,2,1,Slight,1128,Hampshire,No,Urban,Single carriageway,Dry,Fine,Darkness,22/09/2012,2012,6-Saturday,19,-0.771095,51.302464
200504DA05052,1,1,Slight,709,Lancashire,Yes,Urban,One way street,Dry,Fine,Daylight,12/07/2005,2005,2-Tuesday,13,-2.697447,53.761979
20103102A0279,3+,1,Slight,2274,Nottinghamshire,Yes,Rural,Single carriageway,Ice,Fog,Darkness,10/02/2010,2010,3-Wednesday,19,-1.184148,53.157806
201030D000635,2,1,Serious,11341.5,Derbyshire,No,Urban,Single carriageway,Dry,Fine,Daylight,06/07/2010,2010,2-Tuesday,11,-1.450307,52.880299
201597NA00409,2,1,Serious,4317,Strathclyde,Yes,Rural,Single carriageway,Dry,Fine,Daylight,02/09/2015,2015,3-Wednesday,10,-4.035457,55.888094
20063108A2295,2,3+,Serious,21259,Nottinghamshire,Yes,Rural,Single carriageway,Dry,Fine,Daylight,20/08/2006,2006,7-Sunday,13,-1.276489,53.073902
2012621200581,1,1,Slight,608,South Wales,Yes,Urban,Single carriageway,Dry,Fine,Daylight,10/07/2012,2012,2-Tuesday,8,-3.714907,51.48682
200701TX20447,2,1,Slight,1210.5,Metropolitan Police,Yes,Urban,Single carriageway,Dry,Fine,Daylight,01/08/2007,2007,3-Wednesday,7,-0.279071,51.492037
201001BS70756,1,1,Slight,849,Metropolitan Police,Yes,Urban,Dual carriageway,Wet,Raining,Darkness,15/12/2010,2010,3-Wednesday,18,-0.190661,51.494663
2006216123078,2,1,Slight,1041,Staffordshire,Yes,Urban,Dual carriageway,Dry,Fine,Daylight,19/08/2006,2006,6-Saturday,9,-2.179084,53.002524
200706F071692,2,2,Fatal,99014,Greater Manchester,Yes,Urban,Single carriageway,Wet,Raining,Daylight,09/05/2007,2007,3-Wednesday,18,-2.359822,53.518264
20094100T2019,2,2,Slight,1434,Hertfordshire,Yes,Rural,Dual carriageway,Dry,Fine,Daylight,12/02/2009,2009,4-Thursday,15,-0.228958,51.729052
2007170M12397,2,1,Slight,648,Cleveland,No,Urban,Single carriageway,Dry,Fine,Daylight,29/09/2007,2007,6-Saturday,16,-1.256244,54.546339
201560S137209,1,1,Serious,1858,North Wales,No,Urban,One way street,Dry,Fine,Daylight,07/09/2015,2015,1-Monday,11,-3.491357,53.320155
2008558W01118,2,1,Slight,540,Dorset,No,Urban,Single carriageway,Wet,Raining,Darkness,13/03/2008,2008,4-Thursday,18,-2.76582,50.739518
201030B000327,2,1,Slight,1462.5,Derbyshire,Yes,Rural,Single carriageway,Dry,Fine,Daylight,28/09/2010,2010,2-Tuesday,17,-1.556876,53.081659
201142I237707,2,1,Slight,217.5,Essex,No,Urban,Single carriageway,Dry,Fine,Daylight,29/07/2011,2011,5-Friday,20,0.718555,51.542579
201442I211407,3+,2,Slight,1065,Essex,Yes,Rural,Dual carriageway,Dry,Fine,Daylight,01/07/2014,2014,2-Tuesday,14,0.176715,51.806426
200614D039506,2,2,Slight,1030,South Yorkshire,Yes,Urban,Single carriageway,Dry,Fine,Darkness,05/03/2006,2006,7-Sunday,19,-1.455082,53.422013
2012961200890,3+,2,Slight,260,Central,Yes,Rural,Single carriageway,Dry,Fine,Daylight,16/05/2012,2012,3-Wednesday,9,-3.749735,56.153866
